"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"314","1700029E06Rik",0,0,0,0,0,0,0,0
"315","1700029F12Rik",0,0,0,0,0,0,0,0
"316","1700029H14Rik",0,0,2.67,1.31,0,0.7,0,0
"317","1700029I15Rik",28.51,25.71,40.12,34.11,17.46,12.65,4.47,9.46
"318","1700029J03Rik",0,0,0,0,0,0,0,0
"319","1700029J07Rik",60.58,66.42,42.8,41.98,40.28,83.62,21.47,37.17
"320","1700029M03Rik",0,0,0,0,0,0,0,0
"321","1700029M20Rik",0,1.07,4.01,0,0.67,0.7,0,5.41
"322","1700029N11Rik",0,0,0,0,0,0,0,0
"323","1700029P11Rik",0,0,0,0,0,0,0,0
"324","1700030A11Rik",0,2.14,0,1.31,0.67,2.11,0,0
"325","1700030C10Rik",5.35,19.28,1.34,3.94,11.41,7.73,9.84,6.76
"326","1700030C12Rik",0,2.14,1.34,2.62,4.03,1.41,2.68,3.38
"327","1700030C14Rik",10.69,3.21,1.34,10.49,8.06,16.86,17.89,12.84
"328","1700030E10Rik",0,0,0,0,0.67,0,0,0
"329","1700030F04Rik",1.78,5.36,13.37,5.25,2.01,0.7,0,0
"330","1700030I03Rik",0,0,2.67,0,0,0,0,0
"331","1700030J22Rik",153.24,158.56,128.39,184.97,169.19,249.46,274.66,274.41
"332","1700030K09Rik",212.05,181.06,161.82,174.48,218.2,200.97,188.77,185.87
"333","1700030L20Rik",0,0,0,0,0,0,0,0.68
"334","1700030L22Rik",0,0,0,0,0,0,0,0
"335","1700030M09Rik",1.78,0,0,1.31,1.34,0.7,0,0.68
"336","1700030N03Rik",0,0,0,0,0,0,0,0
"337","1700030N18Rik",1.78,0,0,0,0,0.7,0,0
"338","1700030O20Rik",0,0,0,0,0,0,0,0
"339","1700031A10Rik",0,0,0,0,0,0,0,0
"340","1700031F05Rik",0,0,0,0,0,0,0,0
"341","1700031F10Rik",0,0,0,0,0,0.7,0,0
"342","1700031L13Rik",0,0,1.34,0,0,0,0,0
"343","1700031M16Rik",0,1.07,0,1.31,0,0,0,0
"344","1700031P21Rik",0,0,0,0,0,0,0,0
"345","1700034B16Rik",0,0,0,0,0,0,0,0
"346","1700034E13Rik",0,0,0,0,0,0,0,0
"347","1700034G24Rik",0,1.07,0,0,0,0,0,0
"348","1700034H15Rik",40.98,38.57,42.8,60.35,35.58,27.41,29.52,29.74
