"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"35150","Gm6063",64.15,23.57,22.74,27.55,8.73,23.19,18.79,19.6,26,-0.61,-0.95,0.03452,0.07485
"35151","Gm6064",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35152","Gm6065",5.35,1.07,2.67,5.25,3.36,1.41,1.79,1.35,2.8,-0.23,-0.81,0.41517,0.55235
"35153","Gm6066",0,0,0,0,0,2.11,0,0,0.3,0.05,1.09,0.75462,NA
"35154","Gm6067",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35155","Gm6068",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35156","Gm6069",0,2.14,0,3.94,0,3.51,0,0,1.2,-0.08,-0.81,0.70563,0.80183
"35157","Gm6070",0,0,1.34,0,0.67,1.41,0,0,0.4,0.02,0.36,0.89829,NA
"35158","Gm6071",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35159","Gm6072",0,0,0,1.31,0,0,0,0.68,0.2,-0.04,-0.89,0.80151,NA
"35160","Gm6073",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35161","Gm6074",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35162","Gm6075",5.35,2.14,1.34,0,0.67,0,0,0.68,1.3,-0.4,-2.57,0.14264,0.2418
"35163","Gm6076",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35164","Gm6077",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35165","Gm6079",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35166","Gm6081",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35167","Gm6082",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35168","Gm6083",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35169","Gm6085",5.35,4.29,2.67,7.87,3.36,2.11,5.37,6.08,4.6,-0.09,-0.26,0.74177,0.82852
"35170","Gm6087",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35171","Gm6088",0,1.07,0,0,0,0.7,0,0,0.2,-0.04,-0.89,0.80151,NA
"35172","Gm6089",0,0,0,0,0.67,1.41,0,2.03,0.5,0.17,2.06,0.41942,NA
"35173","Gm609",0,2.14,2.67,2.62,7.39,2.11,2.68,0,2.5,0.14,0.67,0.59865,0.71869
"35174","Gm6091",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35175","Gm6092",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35176","Gm6093",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35177","Gm6096",0,0,0,0,0,0.7,0,0,0.1,-0.01,-0.17,0.9623,NA
"35178","Gm6098",0,0,0,2.62,0,0,0,0,0.3,-0.11,-2.37,0.50072,NA
"35179","Gm6100",0,1.07,4.01,0,0.67,2.11,0.89,0,1.1,-0.07,-0.5,0.77451,0.85258
"35180","Gm6101",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35181","Gm6104",3.56,2.14,2.67,1.31,8.73,9.84,3.58,4.73,4.6,0.57,1.52,0.07719,0.14689
"35182","Gm6105",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35183","Gm6108",0,2.14,0,2.62,2.01,1.41,0,0.68,1.1,-0.04,-0.26,0.87812,0.92392
"35184","Gm6109",0,1.07,0,0,1.34,1.41,1.79,0,0.7,0.15,1.46,0.48803,NA
"35185","Gm6112",1.78,0,0,0,0,0,0,0.68,0.3,-0.04,-0.89,0.80151,NA
"35186","Gm6113",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35187","Gm6114",1.78,2.14,0,0,2.01,0,0.89,0,0.9,-0.05,-0.43,0.8348,NA
"35188","Gm6116",0,0,0,0,0.67,0,0.89,0,0.2,0.03,0.57,0.87168,NA
"35189","Gm6117",35.64,15,6.69,18.37,6.04,4.22,3.58,0.68,11.3,-1.53,-2.36,0.00058,0.00206
"35190","Gm6119",0,0,0,0,0,1.41,0,0,0.2,0.03,0.57,0.87232,NA
"35191","Gm6121",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35192","Gm6122",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35193","Gm6123",0,7.5,2.67,9.18,2.01,1.41,8.05,10.81,5.2,0.04,0.15,0.87313,0.92057
"35194","Gm6124",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35195","Gm6125",0,0,0,0,0,0,0.89,0,0.1,-0.01,-0.17,0.9623,NA
"35196","Gm6128",3.56,0,0,2.62,0,1.41,0.89,0.68,1.1,-0.14,-1,0.56494,0.68846
"35197","Gm6129",1.78,0,0,3.94,0,0,0,0,0.7,-0.26,-3.4,0.2123,NA
"35198","Gm6133",0,11.78,9.36,2.62,9.4,7.03,2.68,4.73,6,-0.01,-0.04,0.96318,0.97827
