"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"2682","AC153941.1",0,0,0,0,0,0,0,0,0,1.13
"2683","AC154013.1",0,1.11,0,0,0,0,0,1.09,0,3.4
"2684","AC154200.1",0,0,2.4,2.3,5.64,0,3.07,2.18,1.29,5.66
"2685","AC154542.1",0,0,0,0,1.61,0,0.77,0,0,0
"2686","AC154573.1",0,0,0,0,0,0,0,0,0,0
"2687","AC154885.1",0,0,0,0,0,0,0,0,0,0
"2688","AC156021.1",0,0,0,0,0,0,0,0,0,0
"2689","AC156032.1",0.92,0,0,0,0,0,0,0,0,0
"2690","AC156546.1",495.72,422.34,381.93,436.88,408.6,486.72,395.67,400.43,409.71,385.96
"2691","AC156564.1",0,0,0,0,0,0,0,0,0,0
"2692","AC157997.1",0,0,0,0,0,0,0,0,0,0
"2693","AC158307.1",0,0,0,0,0,0,0,0,0,0
"2694","AC158774.1",0,1.11,0,0,0,0,0,0,0,0
"2695","AC158912.1",0,0,0,0,0,0,0,0,0,2.26
"2696","AC159140.1",0,0,0,0,0,0,0,0,0,0
"2697","AC159819.1",10.14,8.89,15.61,11.48,9.67,8.1,7.67,15.23,18.09,16.98
"2698","AC160138.1",0.92,4.45,0,1.53,0.81,1.01,1.53,2.18,0,0
